Player_Notes,Player_Name,PF-2015,TO-2015,BLK-2015,STL-2015,AST-2015,TR-2015,DR-2015,OR-2015,PTS-2015,FT %-2015,FT Attempted-2015,FT Made-2015,2P %-2015,2P Attempted-2015,2P Made-2015,3P  %-2015,3P Attempted-2015,3P Made-2015,FG %-2015,FG Attempted-2015,FG Made-2015,Minutes-2015,Games Started-2015,Games-2015,Consolidated_Agent,Agency,Team,Position,Draft_Status,Draft_Year,Draft_Round,Draft_Order,Contract_Contract_Years,Contract_Expires,Current_Contract_Value,Contract_Contract_Avg,College,Experience,Age,Signed_Using,Salary_214-15,Salary_215-16,Salary_216-17,Salary_217-18,Salary_218-19,Previous_Contract_Years,Previous_Contract_TotalVal,Previous_Contract_TotalAvg,Secondary_Agent,Tertiary_Agent,PER_2013_2014,EWA_2013_2014,PER_2014_2015,EWA_2014_2015,Cumulative_TwoYear_EWA
,Russell Westbrook,2.6,4.3,0.2,2.1,8.4,7.3,5.3,2.0,27.5,0.8,9.4,7.9,0.5,17.6,8.1,0.3,3.7,1.1,0.4,21.3,9.2,33.7,52.0,52.0,Gregory Lawrence,Wasserman Media Group,OKC,PG,Drafted,2008,1,4,5,2017,78595310,15719062,California-Los Angeles,6,26,Bird Rights,1571962,16744218,17769374,,,4,16349456,4087364, Arn Tellem, Thaddeus A. Foucher,24.7,9.7,30.1,15.3,25.0
,Andre Drummond,3.4,1.5,1.8,0.9,0.6,13.2,8.0,5.3,13.0,0.4,4.2,1.6,0.5,11.4,5.7,0.0,0.0,0.0,0.5,11.4,5.7,29.9,66.0,66.0,Rob Pelinka,Landmark Sports Agency,DET,C,Drafted,2012,1,9,4,2016,10659170,2664793,Connecticut,2,21,1st Round Pick,256836,32729,4433682,,,,,,,,22.7,15.7,20.4,9.2,24.9
,Al Jefferson,2.2,1.0,1.3,0.8,1.7,8.7,7.2,1.5,17.1,0.7,2.7,1.7,0.5,15.7,7.6,0.5,0.1,0.0,0.5,15.8,7.7,31.2,51.0,55.0,Jeff Schwartz,Excel Sports Management,CHO,C,Drafted,2004,1,15,3,2016,41000000,13666667,High School,10,30,Cap Space,135,135,,,,5,65000000,13000000,,,22.8,15.4,20.4,8.1,23.5
,LaMarcus Aldridge,1.9,1.8,1.0,0.7,1.8,10.5,7.8,2.7,23.3,0.9,5.1,4.4,0.5,18.7,8.7,0.4,1.3,0.5,0.5,20.0,9.2,36.0,58.0,58.0,Arn Tellem,Wasserman Media Group,POR,PF,Drafted,2006,1,2,5,2015,65000000,13000000,Texas,8,29,Bird Rights,152,,,,,4,18832907,4708227, Thaddeus A. Foucher,,21.8,12.9,22.0,10.2,23.1
,John Wall,2.2,3.7,0.6,1.8,10.0,4.5,4.0,0.5,17.3,0.8,4.5,3.5,0.5,11.6,5.7,0.3,2.7,0.8,0.5,14.3,6.5,35.6,67.0,67.0,Dan Fegan,Relativity Sports,WAS,PG,Drafted,2010,1,1,5,2019,84789500,16957900,Kentucky,4,24,1st Round Pick,137125,14728844,15756438,1678431,17811625,4,24050164,6012541,,,19.6,12.8,20.1,10.3,23.1
,Kyrie Irving,2.0,2.4,0.3,1.5,5.2,3.2,2.5,0.7,22.2,0.9,5.0,4.3,0.5,11.5,5.7,0.4,5.1,2.1,0.5,16.6,7.8,37.1,64.0,64.0,Jeffrey Wechsler ,24/7 Sports Management,CLE,PG,Drafted,2011,1,1,4,2015,23198010,5799503,Duke,3,22,Early Bird Rights,7459924,,,,,,,,,,20.1,11.3,21.0,11.2,22.5
,Damian Lillard,2.0,2.7,0.3,1.3,6.3,4.8,4.2,0.6,21.3,0.9,5.1,4.4,0.5,9.6,4.8,0.3,7.1,2.4,0.4,16.7,7.2,36.2,65.0,65.0,Aaron Goodwin,Goodwin Sports Management,POR,PG,Drafted,2012,1,6,4,2016,13845166,3461292,Weber State,2,24,1st Round Pick,33492,4236286,565125,,,,,,,,18.7,11.2,21.2,11.3,22.5
,Kyle Lowry,3.1,2.5,0.2,1.6,7.0,4.7,3.9,0.8,18.2,0.8,4.5,3.7,0.5,9.6,4.4,0.3,5.6,1.9,0.4,15.2,6.3,35.0,64.0,64.0,Juan Aisa,ASM Sports,TOR,PG,Drafted,2006,1,24,4,2018,48000000,12000000,Villanova,8,28,Bird Rights,12,12,12,12,,4,23460000,5865000, Andrew Miller, Gerard Darnes Soms,20.2,13.1,19.5,9.0,22.1
,DeAndre Jordan,3.0,1.4,2.2,1.0,0.7,14.7,10.0,4.7,11.3,0.4,5.4,2.1,0.7,6.3,4.5,0.3,0.1,0.0,0.7,6.4,4.6,34.4,67.0,67.0,Gregory Lawrence,Relativity Sports,LAC,C,Drafted,2008,2,35,4,2015,43039054,10759764,Texas A&M,6,26,Bird Rights,1144123,,,,,3,2140809,713603,,,18.2,10.8,20.9,11.2,22.0
,Goran Dragic,2.5,2.2,0.1,1.1,4.3,3.5,2.5,1.0,16.3,0.8,3.0,2.3,0.6,9.4,5.3,0.3,3.4,1.2,0.5,12.8,6.4,33.4,63.0,63.0,Rade Filipovich,BDA Sports,MIA,SG,Drafted,2008,2,45,4,2016,30000000,7500000,International,6,28,Cap Space,75,75,,,,4,7616000,1904000,,,21.4,14.5,17.3,6.7,21.2
,Pau Gasol,2.0,2.1,2.0,0.3,2.7,12.0,9.1,2.9,18.4,0.8,4.6,3.7,0.5,14.5,7.1,0.5,0.3,0.1,0.5,14.8,7.3,34.8,64.0,64.0,Arn Tellem,Wasserman Media Group,CHI,PF,Drafted,2001,1,3,3,2017,22346280,7448760,International,13,34,Cap Space,7128,744876,776952,,,3,57000000,19000000,,,19.3,8.2,22.7,11.8,20.0
,Marc Gasol,2.5,2.2,1.7,0.9,3.8,7.9,6.5,1.4,17.8,0.8,5.7,4.6,0.5,13.2,6.6,0.1,0.2,0.0,0.5,13.4,6.6,34.0,66.0,66.0,Arn Tellem,Wasserman Media Group,MEM,C,Drafted,2007,2,48,4,2015,57503764,14375941,International,6,30,Bird Rights,15829688,,,,,3,9813333,3271111,,,18.3,7.5,22.2,12.3,19.8
,Derrick Favors,2.8,1.6,1.7,0.8,1.6,8.2,5.6,2.6,16.3,0.7,4.6,3.1,0.5,12.2,6.6,0.0,0.0,0.0,0.5,12.2,6.6,31.3,62.0,62.0,Wallace Prather,WP Sports,UTA,PF,Drafted,2010,1,3,4,2018,46950000,11737500,Georgia Tech,4,23,1st Round Pick,1295,12,115,12,,4,19338156,4834539,,,19.0,9.2,22.6,10.2,19.4
,Rudy Gay,2.3,2.7,0.6,1.0,3.7,5.9,4.4,1.5,20.7,0.8,5.5,4.7,0.5,13.2,6.3,0.4,3.1,1.2,0.5,16.3,7.4,35.5,59.0,60.0,Jeff Austin,Octagon,SAC,SF,Drafted,2006,1,8,3,2017,40000000,13333333,Connecticut,8,28,Bird Rights,19317326,124311,13333333,14263566,,5,82302690,16460538,,,18.4,9.9,19.5,9.2,19.1
,Tim Duncan,2.3,1.8,1.9,0.9,3.0,9.5,7.2,2.4,14.1,0.7,4.1,3.0,0.5,11.2,5.6,0.3,0.1,0.0,0.5,11.2,5.6,29.6,60.0,60.0,James L. Tanner,Tandem Sports + Entertainment,SAS,PF,Drafted,1997,1,1,3,2015,30361446,10120482,Wake Forest,17,38,Bird Rights,1361446,,,,,4,40000000,10000000,,,21.4,10.6,21.5,8.5,19.1
,Paul Millsap,2.8,2.4,0.9,1.7,3.0,8.0,6.0,1.9,16.9,0.7,4.8,3.5,0.5,9.8,5.1,0.4,3.0,1.1,0.5,12.8,6.2,33.1,64.0,64.0,Brendrick DeAngelo Simmons ,,ATL,PF,Drafted,2006,2,47,2,2015,19000000,9500000,Louisiana Tech,8,30,Cap Space,95,,,,,4,26400000,6500000,,,19.8,10.3,19.9,8.4,18.7
,Nikola Vucevic,3.0,2.0,0.7,0.8,1.9,11.2,7.9,3.3,19.6,0.8,3.1,2.4,0.5,16.2,8.6,0.7,0.1,0.0,0.5,16.2,8.6,34.5,60.0,60.0,Rade Filipovich,BDA Sports,ORL,C,Drafted,2011,1,16,4,2019,48000000,12000000,Southern California,3,24,1st Round Pick,292757,1125,1175,1225,1275,4,7909700,1977425,,,18.9,7.4,22.2,11.3,18.7
,Mike Conley,2.0,2.3,0.2,1.3,5.3,3.2,2.7,0.5,16.3,0.9,3.7,3.2,0.5,8.9,4.3,0.4,3.9,1.5,0.4,12.9,5.8,31.8,60.0,60.0,Michael Conley,BDA Sports,MEM,PG,Drafted,2007,1,4,5,2016,40000000,8000000,Ohio State,7,27,Cap Space,876,968,,,,4,15804447,3951112,,,20.1,11.0,19.2,7.7,18.7
,Isaiah Thomas,2.3,2.1,0.1,0.9,4.0,2.4,1.9,0.5,16.3,0.9,5.1,4.4,0.5,6.8,3.1,0.4,5.0,1.9,0.4,11.8,5.0,26.0,1.0,56.0,Andrew Miller,ASM Sports,BOS,PG,Drafted,2011,2,60,4,2018,27000002,6750001,Washington,3,26,,723866,6912869,6587131,6261394,,3,2120092,706697, Gerard Darnes Soms, Juan Aisa,20.5,11.9,20.5,6.8,18.7
,Gordon Hayward,1.9,2.8,0.4,1.4,4.2,4.9,4.2,0.7,19.6,0.8,6.0,4.8,0.5,10.1,4.9,0.4,4.3,1.6,0.5,14.4,6.6,34.8,65.0,65.0,Mark Bartelstein,Priority Sports,UTA,SF,Drafted,2010,1,9,4,2018,62965420,15741355,Butler,4,24,Bird Rights,14746,154957,167314,1673671,,4,11051183,2762796,,,16.2,8.0,20.2,10.5,18.5
,Dwyane Wade,1.8,3.4,0.4,1.3,5.2,3.7,2.8,0.9,21.6,0.8,6.1,4.6,0.5,15.7,7.9,0.3,1.5,0.4,0.5,17.3,8.3,32.0,48.0,48.0,Henry Thomas,Creative Artists Agency,MIA,SG,Drafted,2003,1,5,2,2016,31125000,15562500,Marquette,11,33,Bird Rights,15,16125,,,,6,107186000,17864333,,,22.1,10.2,21.8,8.1,18.3
,Chris Bosh,1.6,2.2,0.6,0.9,2.2,7.0,6.0,1.0,21.1,0.8,5.3,4.1,0.5,13.1,6.4,0.4,3.8,1.4,0.5,16.9,7.8,35.4,44.0,44.0,Henry Thomas,Creative Artists Agency,MIA,C,Drafted,2003,1,4,5,2019,118705300,23741060,Georgia Tech,11,30,Bird Rights,26444,2219273,237416,2528939,2683772,6,109837500,18306250,,,19.1,10.7,20.0,7.3,18.0
,Ty Lawson,1.9,2.4,0.1,1.3,9.7,3.2,2.6,0.6,15.9,0.7,5.1,3.8,0.5,9.7,4.5,0.4,2.9,1.0,0.4,12.6,5.5,35.9,63.0,63.0,Leon Rose,Creative Artists Agency,DEN,PG,Drafted,2009,1,18,4,2017,48000000,12000000,North Carolina,5,27,Bird Rights,1159556,1244495,13213482,,,4,7194208,1798552,,,19.0,8.9,19.4,9.1,18.0
,Greg Monroe,2.1,2.3,0.5,1.0,2.0,10.4,7.0,3.4,16.0,0.7,4.9,3.7,0.5,12.4,6.2,0.0,0.0,0.0,0.5,12.4,6.2,31.1,52.0,64.0,David Falk,FAME,DET,PF,Drafted,2010,1,7,1,2015,5479933,5479933,Georgetown,4,24,,5479933,,,,,4,13110094,3277524,,,18.2,8.9,21.1,9.0,17.9
,Monta Ellis,2.5,2.5,0.3,1.9,4.3,2.4,2.0,0.5,19.2,0.8,3.8,2.9,0.5,13.4,6.4,0.3,3.7,1.1,0.4,17.0,7.6,33.7,68.0,68.0,Jeffrey Fried,Relativity Sports,DAL,SG,Drafted,2005,2,40,3,2016,25080000,8360000,High School,9,29,Cap Space,872,98,,,,6,66000000,11000000,,,16.8,9.5,17.6,7.9,17.4
,Jeff Teague,2.0,2.8,0.5,1.7,7.2,2.4,2.1,0.3,16.6,0.9,4.7,4.1,0.5,9.5,4.7,0.3,3.0,1.0,0.5,12.5,5.8,31.1,60.0,61.0,J.R. Hensley ,ASM Sports,ATL,PG,Undrafted,2009,1,19,4,2017,32000000,8000000,Wake Forest,5,26,Bird Rights,8,8,8,,,4,6863717,1715929,,,17.2,7.8,21.6,9.6,17.4
,Dwight Howard,3.5,3.1,1.4,0.7,1.4,11.0,8.2,2.8,16.3,0.5,6.9,3.7,0.6,10.9,6.3,0.5,0.1,0.0,0.6,11.0,6.3,32.2,32.0,32.0,Dan Fegan,Relativity Sports,HOU,C,Drafted,2004,1,1,4,2017,87591270,21897818,Southwest Atlanta Christian Academy,10,29,Cap Space,21436271,22359364,23282457,,,5,83235900,16647180,,,21.4,12.8,18.2,3.9,16.7
,Zach Randolph,2.5,2.2,0.2,1.0,1.9,11.3,7.9,3.5,16.4,0.8,4.4,3.3,0.5,13.1,6.4,0.4,0.3,0.1,0.5,13.4,6.5,32.8,56.0,56.0,Raymond Brothers,IAM Sports,MEM,PF,Drafted,2001,1,19,2,2017,20000000,10000000,Michigan State,13,33,Bird Rights,165,9638555,1361445,,,4,66000000,16500000,,,18.4,9.2,20.2,7.5,16.7
,Serge Ibaka,3.0,1.5,2.4,0.5,0.9,7.8,5.7,2.1,14.3,0.8,1.7,1.4,0.5,9.1,4.6,0.4,3.2,1.2,0.5,12.3,5.8,33.1,64.0,64.0,Justin Zanik,ASM Sports,OKC,PF,Drafted,2008,1,24,4,2017,49400000,12350000,International,5,25,Bird Rights,1225,1225,1225,,,4,5865661,1466415, Andrew Miller,,19.7,10.8,16.7,5.4,16.2
,DeMar DeRozan,2.2,2.1,0.2,1.3,3.2,4.3,3.7,0.6,19.0,0.8,6.9,5.6,0.4,15.0,6.3,0.2,1.3,0.3,0.4,16.3,6.5,34.1,46.0,46.0,Aaron Goodwin,Goodwin Sports Management,TOR,SG,Drafted,2009,1,9,4,2017,38000000,9500000,Southern California,5,25,Bird Rights,95,95,95,,,4,10705770,2676443,,,18.4,11.9,16.1,4.1,16.0
,Al Horford,1.6,1.3,1.3,0.9,3.3,7.4,5.7,1.7,15.3,0.8,2.0,1.6,0.5,12.2,6.6,0.3,0.5,0.2,0.5,12.7,6.8,30.8,63.0,63.0,Arn Tellem,Wasserman Media Group,ATL,C,Drafted,2007,1,3,5,2018,60000000,12000000,Florida,7,28,Bird Rights,12,12,,,,4,17525017,4381254, B.J. Armstrong,,22.1,5.5,22.0,10.5,16.0
,Marcin Gortat,2.2,1.3,1.3,0.5,1.0,8.7,6.5,2.1,12.1,0.7,2.2,1.5,0.6,9.4,5.3,0.0,0.0,0.0,0.6,9.5,5.3,29.9,67.0,67.0,Guy Zucker,Zucker International,WAS,C,Drafted,2005,2,57,5,2019,60000000,12000000,International,7,31,Bird Rights,1434782,11217391,12,1278269,13565218,5,33953200,6790640,,,17.7,9.3,17.4,6.4,15.7
,Kawhi Leonard,2.0,1.5,0.8,2.2,2.5,7.5,5.9,1.5,15.8,0.8,3.9,3.1,0.5,9.6,4.9,0.3,3.1,1.0,0.5,12.7,5.9,32.1,47.0,47.0,Mitchell Frankel,Impact Sports Basketball,SAS,SF,Drafted,2011,1,15,4,2015,8323699,2080925,San Diego State,3,23,1st Round Pick,353368,426868,,,,,,,,,19.4,8.5,20.6,7.2,15.7
,Jimmy Butler,1.7,1.5,0.6,1.7,3.3,5.9,4.1,1.8,20.2,0.8,7.1,6.0,0.5,11.2,5.5,0.4,3.1,1.1,0.5,14.2,6.6,38.9,55.0,55.0,Happy David Walters,Relativity Sports,CHI,SG,Drafted,2011,1,30,4,2015,5209508,1302377,Marquette,3,25,1st Round Pick,2119214,3178821,,,,,,,,,13.6,4.0,21.3,11.5,15.5
,Tyreke Evans,2.5,3.1,0.5,1.2,6.5,5.3,4.3,1.1,16.9,0.7,3.8,2.7,0.5,12.2,5.8,0.3,3.0,0.9,0.4,15.2,6.7,34.7,61.0,64.0,Arn Tellem,Wasserman Media Group,NOP,SG,Drafted,2009,1,4,4,2017,44000004,11000001,Memphis,5,25,Bird Rights,11265416,1734586,123755,,,4,16894464,4223616,,,18.4,8.0,17.2,7.3,15.3
,Eric Bledsoe,2.4,3.4,0.6,1.7,6.1,5.4,4.5,0.9,17.2,0.8,5.5,4.4,0.5,9.4,4.7,0.4,3.3,1.1,0.5,12.7,5.8,34.4,67.0,67.0,Rich Paul,Klutch Sports Management,PHO,PG,Drafted,2010,1,18,5,2019,70000000,14000000,Kentucky,4,25,Bird Rights,13,135,14,145,15,4,7415554,1853889,,,19.6,6.1,19.3,9.0,15.1
,Jonas Valanciunas,2.6,1.3,1.2,0.4,0.4,8.6,5.9,2.8,12.0,0.8,3.6,2.9,0.6,8.0,4.6,0.0,0.0,0.0,0.6,8.0,4.6,26.2,65.0,65.0,Leon Rose,East Players,TOR,C,Drafted,2011,1,5,4,2016,15239922,3809981,International,2,22,1st Round Pick,367836,466482,6179799,,,,,, Sarunas Broga,,16.2,6.3,20.2,7.9,14.2
,Tyson Chandler,2.2,1.4,1.2,0.6,1.1,11.5,7.5,4.0,10.4,0.7,3.3,2.5,0.7,5.9,3.9,0.0,0.0,0.0,0.7,5.9,3.9,30.7,62.0,62.0,Jeff Schwartz,Excel Sports Management,DAL,C,Drafted,2001,1,2,4,2015,55409450,13852363,High School,13,32,Bird Rights,14596888,,,,,6,64350000,10725000,,,16.5,4.9,20.6,9.2,14.1
injured 2015,Paul George,,,,,,,,,,,,,,,,,,,,,,,,0.0,Aaron Mintz,Creative Artists Agency,IND,SF,Drafted,2010,1,10,5,2019,85000000,17000000,Fresno State,4,24,1st Round Pick,158,169,181,193,25,4,10501023,2625256,,,20.2,13.9,,,13.9
,Kenneth Faried,2.6,1.5,0.8,0.7,1.2,8.9,5.8,3.0,11.9,0.7,3.5,2.4,0.5,9.4,4.7,0.1,0.1,0.0,0.5,9.5,4.7,27.7,58.0,62.0,Arn Tellem,Wasserman Media Group,DEN,PF,Drafted,2011,1,22,4,2019,50000000,12500000,Morehead State,3,25,1st Round Pick,2373537,11235955,1278652,12921348,1376445,4,6183368,1545842, Thaddeus A. Foucher,,19.9,9.1,17.2,4.6,13.7
,Kemba Walker,1.6,1.6,0.6,1.3,5.2,3.7,3.1,0.6,18.0,0.8,4.6,3.8,0.4,11.4,4.8,0.3,4.8,1.5,0.4,16.2,6.3,34.8,42.0,45.0,Jeff Schwartz,Excel Sports Management,CHO,PG,Drafted,2011,1,9,4,2019,10659171,2664793,Connecticut,3,24,1st Round Pick,3452183,12,12,12,12,,,,,,16.8,7.6,18.7,5.7,13.3
,Brandon Knight,1.8,3.0,0.2,1.4,5.3,3.9,3.5,0.5,17.2,0.9,3.6,3.1,0.4,9.1,4.0,0.4,5.1,2.0,0.4,14.2,6.0,32.5,61.0,62.0,Arn Tellem,Wasserman Media Group,PHO,PG,Drafted,2011,1,8,4,2015,11589837,2897459,Kentucky,3,23,1st Round Pick,3553917,554462,,,,,,,,,16.6,6.7,17.6,6.6,13.3
,Jamal Crawford,1.7,1.5,0.2,0.9,2.5,2.0,1.7,0.3,16.4,0.9,4.1,3.7,0.5,7.6,3.5,0.3,5.8,1.9,0.4,13.4,5.4,26.9,4.0,60.0,Gerard Darnes Soms,ASM Sports,LAC,SG,Drafted,2000,1,8,4,2016,21350000,5337500,Michigan,14,34,MLE,545,5675,,,,2,5000000,2500000, Andrew Miller, Juan Aisa,17.4,7.2,17.6,5.7,12.9
,Wesley Matthews,2.2,1.4,0.2,1.3,2.3,3.7,3.1,0.6,15.9,0.8,2.4,1.8,0.5,5.1,2.7,0.4,7.4,2.9,0.4,12.6,5.6,33.7,60.0,60.0,Jeff Austin,Octagon,POR,SG,Undrafted,,,,5,2015,32526600,6505320,Marquette,5,28,MLE,724564,,,,,1,457588,457588,,,15.7,7.2,16.2,5.7,12.9
,Chandler Parsons,2.0,1.4,0.3,1.1,2.3,4.8,3.8,1.0,15.8,0.7,2.9,2.1,0.5,7.2,3.7,0.4,5.3,2.1,0.5,12.5,5.8,33.1,58.0,58.0,Bradley Ames,Relativity Sports,DAL,SF,Drafted,2011,2,38,3,2017,46084500,15361500,Florida,3,26,Cap Space,147,153615,1623,,,3,2498896,832965, Mark Bartelstein,,15.9,7.5,16.2,5.3,12.8
,Robin Lopez,2.3,1.3,1.6,0.3,1.0,6.9,3.6,3.3,9.9,0.7,2.2,1.6,0.5,7.8,4.1,0.0,0.0,0.0,0.5,7.8,4.1,28.4,42.0,42.0,Arn Tellem,Wasserman Media Group,POR,C,Drafted,2008,1,15,3,2015,15359283,5119761,Stanford,6,26,Bird Rights,534229,,,,,4,8099162,2024791,,,17.7,9.2,16.2,3.0,12.2
,Brandan Wright,1.4,0.3,1.1,0.6,0.5,4.0,2.3,1.7,7.0,0.7,1.4,1.0,0.7,4.5,3.0,0.0,0.0,0.0,0.7,4.5,3.0,17.8,1.0,63.0,James L. Tanner,Tandem Sports + Entertainment,PHO,PF,Drafted,2007,1,8,2,2015,10000000,5000000,North Carolina,6,27,Early Bird Rights,5,,,,,2,1908532,954266, Jr.,,23.6,6.5,21.9,5.3,11.8
,Thaddeus Young,2.3,1.5,0.3,1.7,2.5,5.1,3.5,1.5,14.2,0.7,2.6,1.8,0.5,11.5,5.5,0.4,1.4,0.5,0.5,12.9,6.0,31.9,53.0,61.0,James L. Tanner,Tandem Sports + Entertainment,MIN,SF,Drafted,2007,1,12,5,2016,43000000,8600000,Georgia Tech,7,26,Bird Rights,91687,972174,,,,4,8805481,2201370, Jr.,,16.6,7.0,15.7,4.7,11.7
,Tobias Harris,2.1,1.7,0.6,1.1,1.9,6.3,5.3,1.0,17.1,0.8,3.7,2.9,0.5,10.6,5.2,0.4,3.4,1.3,0.5,13.9,6.5,35.0,53.0,58.0,Henry Thomas,,ORL,SF,Drafted,2011,1,19,4,2015,6826594,1706649,Tennessee,3,22,1st Round Pick,2511432,358132,,,,,,,,,16.5,5.6,16.8,6.0,11.6
,David Lee,1.8,1.0,0.6,0.7,1.9,5.5,3.8,1.7,8.2,0.7,2.3,1.5,0.5,6.5,3.3,0.0,0.1,0.0,0.5,6.5,3.3,18.7,1.0,39.0,Mark Bartelstein,Priority Sports,GSW,PF,Drafted,2005,1,30,6,2016,79537680,13256280,Florida,9,31,Bird Rights,1512,1549368,,,,1,7000000,7000000,,,19.2,8.8,19.7,2.7,11.5
,Markieff Morris,2.9,2.0,0.5,1.3,2.2,5.8,4.5,1.3,15.3,0.7,2.7,2.0,0.5,11.1,5.5,0.3,2.3,0.7,0.5,13.4,6.3,31.0,68.0,68.0,Anthony Dutt,Creative Artists Agency,PHO,PF,Drafted,2011,1,13,4,2019,32000000,8000000,Kansas,3,25,Bird Rights,315386,8,74,8,86,4,9005799,2251450,,,18.5,7.5,15.5,3.9,11.4
